id,user_id,kc_id,current_score,last_updated_at
331,5c900d72-a45f-423c-8d8c-ccc04000f13c,6,1,2025-06-06 06:45:22.120237+00
329,5c900d72-a45f-423c-8d8c-ccc04000f13c,5,1,2025-06-06 06:42:41.624171+00
325,5c900d72-a45f-423c-8d8c-ccc04000f13c,1,4,2025-06-06 06:42:41.575326+00
311,6091f972-ba67-48a8-8d8f-0634544c94e0,2,4,2025-06-06 05:28:44.174743+00
310,6091f972-ba67-48a8-8d8f-0634544c94e0,3,4,2025-06-06 05:28:44.126369+00
315,6091f972-ba67-48a8-8d8f-0634544c94e0,14,3,2025-06-06 05:26:33.235891+00
317,6091f972-ba67-48a8-8d8f-0634544c94e0,1,2,2025-06-06 05:23:20.149453+00
312,6091f972-ba67-48a8-8d8f-0634544c94e0,4,2,2025-06-06 05:23:20.100206+00
314,6091f972-ba67-48a8-8d8f-0634544c94e0,13,1,2025-06-06 05:08:48.54167+00
313,6091f972-ba67-48a8-8d8f-0634544c94e0,5,0,2025-06-06 05:06:12.195766+00
303,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,1,3,2025-06-06 04:27:02.75523+00
300,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,14,4,2025-06-06 04:27:02.690172+00
302,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,7,3,2025-06-06 04:22:45.92621+00
298,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,2,3,2025-06-06 04:18:18.676185+00
299,eb7d5743-b4ca-4d16-86ee-b432c05eaaf4,3,3,2025-06-06 04:18:18.630583+00
